BR,En,Hun
que,what,mit
não,no,nem
de,in,ban ben
a,The,A
é,It is,Ez
você,you,te
e,It is,Ez
eu,I,én
um,one,egy
para,for,-ra
está,it is,ez
uma,one,egy
se,if,ha
com,with,val vel
por,per,egy
ele,he,ő
isso,that,hogy
em,in,ban ben
do,of,"nak,-nek"
me,me,nekem
mas,but,de
como,as,mint
bem,good,jó
da,from the,tól
no,at the,a
os,you,te
ela,she,ő
na,at,nál nél
sim,Yes,Igen
aqui,here,itt
mais,more,több
tem,he has,neki van
meu,my,az én
seu,your,a te
muito,very,nagyon
foi,he was,ő volt
as,to the,hoz
vai,go,megy
sua,your,a te
estou,I am,Én vagyok
vamos,let's go,Gyerünk
tudo,all,minden
minha,my,az én
só,only,csak
então,then,akkor
pode,he can,ő tud
agora,now,Most
vou,I go,megyek
ser,to be,lenni
quando,when,amikor
fazer,to do,csinálni
sei,know,tud
eles,they,ők
nós,us,minket
tenho,I have,Nekem van
te,you,te
estava,he was,ő volt
certo,right,jobb
quer,he wants,akarja
sabe,he knows,tudja
já,already,már
era,it was,ez volt
nos,us,minket
quem,who,WHO
ou,or,vagy
ao,to the,hoz
nada,anything,bármi
disse,he said,ő mondta
há,there is,van
lá,there,ott
onde,where,ahol
quero,I want,Azt akarom
bom,good,jó
ter,to have,birtokolni
sou,I am,Én vagyok
são,they are,ők
dizer,to say,mondani
posso,I can,Meg tudom csinálni
acho,I think,gondolom
sobre,about,ról ről
mim,me,nekem
porque,why,miért
mesmo,same,azonos
coisa,thing,dolog
todos,all,minden
estão,they are,ők
algo,something,valami
até,until,amíg
tempo,time,idő
assim,like this,mint ez
nunca,Never,Soha
vocês,you,te
esse,that,hogy
casa,House,Ház
quê,what,mit
essa,that,hogy
à,The,A
ver,to see,látni
também,also,is
pra,for,-ra
ainda,yet,még
tão,so,így
dos,of the,a
cara,face,arc
favor,favor,kedvelő
ir,go,megy
melhor,better,jobb
noite,night,éjszaka
sem,without,nélkül
temos,we have,nekünk van
obrigado,thanks,Kösz
dia,day,nap
talvez,perhaps,talán
pai,father,apa
estamos,we are,mi vagyunk
esta,it is,ez
deus,God,Isten
alguém,somebody,valaki
mãe,mother,anya
vida,life,élet
senhor,sir,uram
este,This one,Ezt
isto,this,ez
sempre,ever,valaha
anos,years,évek
vez,turn,fordulat
verdade,true,igaz
seus,your,a te
dele,from him,tőle
ficar,to stay,maradni
parece,looks,kinézet
oh,Oh,OH
claro,Of course,természetesen
depois,after,után
tinha,he had,neki volt
falar,to speak,beszel
coisas,things,dolgok
antes,before,előtt
pessoas,people,emberek
pouco,little,kis
pelo,for the,a
preciso,necessary,szükséges
apenas,just,éppen
homem,man,Férfi
deve,he must,Meg kell
nem,nor,sem
boa,good,jó
dois,two,kettő
fazendo,doing,cselekedet
todo,all,minden
lugar,place,hely
faz,he does,csinál
acha,he thinks,azt hiszi
fez,he did,ő tette
aí,there,ott
fora,outside,kívül
estar,be,lenni
qual,which,melyik
disso,from that,attól
trabalho,work,munka
precisa,it needs,Szüksége van
das,of,"nak,-nek"
hoje,today,Ma
ninguém,nobody,senki
novo,new,új
queria,I wanted,akartam
ei,Hey,Hé
comigo,with me,velem
mundo,world,világ
saber,to know,tudni
alguma,some,néhány
dar,to give,adni
podemos,we can,tudunk
grande,big,nagy
sinto,I feel,érzem
seja,it is,ez
nossa,our,a miénk
poderia,it could,megtehetem
dinheiro,money,pénz
suas,your,a te
será,it will be,lesz
nome,name,név
quanto,how much,mennyi
qualquer,any,Bármi
pela,for the,a
outro,other,Egyéb
vá,go,megy
lhe,him,neki
dela,her,neki
nosso,our,a miénk
oi,hey,Hé
meus,my,az én
desculpe,sorry,sajnálom
filho,son,fiú
certeza,certainty,bizonyosság
vão,they go,mennek
hora,hour,óra
ok,OK,rendben
outra,other,Egyéb
sair,to go out,kimenni
toda,all,minden
volta,return,Visszatérés
problema,problem,probléma
obrigada,thanks,Kösz
olá,hello,Helló
tipo,type,típus
realmente,really,igazán
sabia,you knew,tudtad
aconteceu,it happened,ez történt
menos,any less,bármikor kevésbé
mulher,woman,nő
algum,some,néhány
diga,say,mond
falando,talking,beszél
espere,hang on,várj
ótimo,excellent,kiváló
carro,car,autó
vezes,times,idő
amigo,friend,barát
primeiro,first,első
deveria,it should,kellene
seria,he would be,ő lenne
venha,come,jön
três,three,három
entre,in between,közte
daqui,from here,innen
sério,serious,komoly
diz,it says,azt mondja
voltar,to go back,vissza menni
ah,ah,AH
parte,part,rész
amor,love,szerelem
feliz,happy,boldog
às,to the,hoz
viu,it saw,látta
embora,although,habár
família,family,család
olhe,look,néz
deixar,to leave,elhagyni
atrás,back,vissza
tenha,you have,neked van
faça,do,csinál
pensei,I thought,azt gondoltam
ajudar,to help,segíteni
todas,all,minden
olha,look,néz
aquele,that one,azt
duas,two,kettő
querida,dear,kedves
frente,front,elülső
vi,saw,fűrész
indo,going,haladó
alguns,some,néhány
dias,days,napok
fui,I went,mentem
vem,he comes,ő jön
lado,side,oldal
podem,they can,ők tudnak
fiz,I did,én csináltam
merda,Shit,Szar
nas,in the,"ban,-ben"
pare,Stop,Állj meg
tarde,afternoon,délután
gosto,I like,szeretem
precisamos,we need,szükségünk van
caso,case,ügy
fique,stay,marad
dentro,inside,belül
cidade,city,város
momento,time,idő
pegar,to take,elvenni
foram,they were,ők voltak
nenhum,none,egyik sem
gente,people,emberek
somos,are,vannak
amanhã,tomorrow,holnap
fosse,were,voltak
cabeça,head,fej
gostaria,I would like,szeretnék
amigos,friends,barátok
mal,bad,rossz
enquanto,while,míg
homens,men,férfiak
logo,soon,hamar
deles,from them,tőlük
desde,since,mivel
tanto,so much,olyan sok
garota,girl,lány
pessoa,person,személy
legal,Cool,Menő
amo,I love,Imádom
rápido,fast,gyors
algumas,some,néhány
cada,each,minden egyes
jeito,way,út
tentando,trying,megpróbálja
meio,quite,egészen
outros,others,mások
têm,he has,neki van
medo,fear,félelem
minhas,my,az én
importa,it matters,számít
irmão,brother,fiú testvér
errado,wrong,rossz
história,history,történelem
primeira,first,első
quase,almost,majdnem
horas,hours,órák
encontrar,meet,találkozik
nova,new,új
essas,these,ezek
pessoal,guys,srácok
dá,from the,tól
difícil,difficult,nehéz
forma,form,forma
contra,against,ellen
matar,to kill,ölni
semana,week,hét
dizendo,say,mond
perto,close,Bezárás
demais,too much,túl sok
entrar,to enter,belépni
esses,those,azok
deu,it gave,adta
achei,I thought,azt gondoltam
deixe,leave,elhagy
vejo,I see,Látom
polícia,police,rendőrség
espero,I expect,Elvárom
sido,has been,volt
juntos,together,együtt
ajuda,help,Segítség
ano,year,év
caminho,path,pálya
nisso,in that,abban
elas,they,ők
quiser,he wants,akarja
crianças,children,gyermekek
manhã,morning,reggel
for,either,bármelyik
aquela,that one,azt
sorte,luck,szerencse
morte,death,halál
pensar,think,gondol
papai,daddy,apu
aos,to the,hoz
ali,there,ott
veja,look,néz
fica,he is,ő van
teve,he had,neki volt
quarto,room,szoba
levar,to take,elvenni
filha,daughter,lánya
feito,done,Kész
minutos,minutes,percek
morto,dead,halott
porta,door,ajtó
tive,I had,nekem volt
entendo,I understand,Megértem
cima,top,felső
acabou,he finished,befejezte
tá,OK,rendben
chegar,to arrive,megérkezni
num,on one,egyszerre
veio,he came,jött
água,water,víz
mesma,same,azonos
dê,in,ban ben
significa,means,eszközök
teria,it would have,az lenne
pronto,ready,kész
esposa,wife,feleség
vir,come over,Gyere át
acredito,I believe,Hiszek
ouvir,to hear,hallani
gosta,he likes,szereti
morrer,to die,meghalni
nossos,ours,a miénk
olhos,eyes,szemek
garoto,boy,fiú
última,last,utolsó
coração,heart,szív
contar,tell,Mondd
importante,important,fontos
jogo,game,"játszma, meccs"
acontecendo,happening,esemény
razão,reason,ok
mãos,hands,keze
devo,owe,tartozik
ideia,idea,ötlet
consigo,with you,veled
idiota,idiot,idióta
passar,to spend,költeni
havia,there was,volt
problemas,problems,problémák
parar,to stop,megállni
senhora,madam,Hölgyem
fim,end,vége
corpo,body,test
chefe,boss,főnök
poder,power,erő
mamãe,mommy,anyu
ia,ia,ia
cuidado,Careful,Óvatos
começar,to start,kezdeni
espera,wait,várjon
ficou,it was left,maradt
conta,account,beszámoló
exatamente,exactly,pontosan
arma,weapon,fegyver
longe,far away,messze
escola,school,iskola
tentar,to try,megpróbálni
pois,then,akkor
terra,Earth,föld
droga,damn it,a fenébe is
ontem,yesterday,tegnap
pensando,thinking,gondolkodás
única,only,csak
devia,should,kellene
sendo,being,lény
causa,cause,ok
guerra,war,háború
chance,chance,véletlen
usar,to use,használni
marido,husband,férj
mão,hand,kéz
tal,such,ilyen
numa,in,ban ben
trabalhar,to work,dolgozni
sangue,blood,vér
música,music,zene
esperar,wait,várjon
querem,want,akar
uns,some,néhány
nenhuma,none,egyik sem
tivesse,have,van
digo,I say,mondom
estranho,strange,furcsa
maior,bigger,nagyobb
velho,old,régi
faço,I make,készítek
boca,mouth,száj
houve,there was,volt
festa,party,buli
estavam,they were,ők voltak
fala,he speaks,ő beszél
mulheres,women,nők
conhece,do you know,tudod
ouvi,I heard,hallottam
tirar,to throw,dobni
esperando,waiting,várakozás
podia,could,tudott
licença,license,engedély
capitão,captain,kapitány
preocupe,worry,aggodalom
comer,eat,eszik
fácil,easy,könnyen
deixa,he leaves,elhagyja
novamente,again,újra
além,in addition,továbbá
irmã,sister,nővér
meses,months,hónapok
eram,they were,ők voltak
suficiente,enough,elég
pais,country,ország
segundo,second,második
sabemos,We know,Tudjuk
muitas,lots of,sok
cinco,five,öt
bebê,baby,baba
matou,killed,megölt
querido,Dear,kedves
muita,many,sok
idéia,idea,ötlet
saia,skirt,szoknya
muitos,many,sok
número,number,szám
vê,bum,ingyenélő
deixou,he left,elment
conseguir,get,kap
lembra,remember,emlékezik
dessa,of that,ebből
morreu,he died,meghalt
tomar,to take,elvenni
the,The,A
bastante,quite,egészen
neste,in this,ebben
maneira,manner,mód
quatro,four,négy
filhos,children,gyermekek
